date;cmpgn;kw;kw status;impressions;clicks;cost;conversions;all_conversions;search_impression_share;search_rank_lost_impression_share;top_impression_percentage;absolute_top_impression_percentage;total_conversion_value;all_conversion_value
2021-01-22;Non Branded Funnel;principles of marketing;enabled;30;1;1,33;0;0;0,25;0,36;0,69;0,24;0;0
2021-01-22;Branded;integrated marketing communications;paused;63;4;6,02;0;0;0,1;0,62;0,85;0,35;0;0
2021-01-22;Non Branded Funnel;pay per click marketing;enabled;88;0;0;0;0;0,1;0,56;0,45;0,07;0;0
2021-01-22;Non Branded Funnel;social media marketing;enabled;22;1;5,71;0;0;0,2;0,41;0,32;0,14;0;0
2021-01-22;Non Branded Funnel;content marketing agency;enabled;14;0;0;0;0;0,1;0,6;0,13;0;0;0
2021-01-22;Non Branded HubSpot;marketing concepts;enabled;85;6;8,91;1;1;0,1;0,9;0,76;0,24;0;0
2021-01-22;Non Branded HubSpot;marketing tips;enabled;25;1;1,59;0;0;0,1;0,9;0,69;0,19;0;0
2021-01-22;Non Branded Funnel;outbound marketing;enabled;38;1;2,91;0;0;0,1;0,59;0,36;0;0;0
2021-01-22;Non Branded Funnel;channel marketing;enabled;7;0;0;0;0;0,1;0,6;0;0;0;0
2021-01-22;Non Branded Funnel;internet marketing agency;enabled;2;0;0;0;0;0;0;0;0;0;0
2021-01-22;Non Branded Funnel;top marketing firms;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-22;Non Branded Funnel;marketing consultant;enabled;1;0;0;0;0;0,1;0,5;0;0;0;0
2021-01-22;Non Branded Funnel;global marketing strategy;enabled;2;0;0;0;0;0,1;0,5;0;0;0;0
2021-01-22;Non Branded Funnel;website marketing;enabled;2;0;0;0;0;0,13;0,4;0;0;0;0
2021-01-23;Non Branded HubSpot;marketing mix;enabled;24;3;3,55;0;0;0,1;0,9;0,63;0,21;0;0
2021-01-23;Non Branded Funnel;principles of marketing;enabled;11;0;0;0;0;0,53;0,47;0,56;0;0;0
2021-01-23;Non Branded Funnel;principles of marketing;enabled;38;2;4,25;0;0;0,4;0,6;0,82;0,29;0;0
2021-01-23;Non Branded HubSpot;#NAME?;enabled;10;0;0;0;0;0,1;0,9;0,7;0,3;0;0
2021-01-23;Non Branded Funnel;channel marketing;enabled;20;0;0;0;0;0,1;0,9;0,42;0;0;0
2021-01-23;Branded;integrated marketing communications;paused;42;5;5,75;0;0;0,1;0,88;0,87;0,32;0;0
2021-01-23;Non Branded Funnel;pay per click marketing;enabled;92;1;1,49;0;0;0,1;0,9;0,28;0;0;0
2021-01-23;Non Branded Funnel;social media marketing;enabled;40;1;3,51;0;0;0,35;0,65;0,23;0,13;0;0
2021-01-23;Non Branded HubSpot;marketing concepts;enabled;39;3;3,34;0;0;0,1;0,9;0,76;0,22;0;0
